Employee,Risk_%,Top_Driver,Employee_Value,Population_Avg,Contribution,Direction
14668,93.1,MonthlyRate,25308.0,14297.63,221.0079,▲ risk
14665,93.1,MonthlyRate,25308.0,14297.63,221.0079,▲ risk
14657,93.1,MonthlyRate,25308.0,14297.63,221.0079,▲ risk
5997,92.0,MonthlyRate,25422.0,14297.63,223.2962,▲ risk
5989,92.0,MonthlyRate,25422.0,14297.63,223.2962,▲ risk
6000,91.2,MonthlyRate,9100.0,14297.63,-104.3305,▼ risk
17242,88.4,MonthlyRate,7568.0,14297.63,-135.0819,▼ risk
17238,88.4,MonthlyRate,7568.0,14297.63,-135.0819,▼ risk
17234,88.4,MonthlyRate,7568.0,14297.63,-135.0819,▼ risk
17246,88.4,MonthlyRate,7568.0,14297.63,-135.0819,▼ risk
3479,88.2,Application ID,0.0,7489.08,-128.7847,▼ risk
3482,88.2,Application ID,2764.0,7489.08,-81.2541,▼ risk
3490,88.2,Application ID,2771.0,7489.08,-81.1337,▼ risk
3487,88.2,Application ID,2768.0,7489.08,-81.1853,▼ risk
17236,88.1,MonthlyRate,7568.0,14297.63,-135.0819,▼ risk
17239,88.1,MonthlyRate,7568.0,14297.63,-135.0819,▼ risk
17244,88.1,MonthlyRate,7568.0,14297.63,-135.0819,▼ risk
17247,88.1,MonthlyRate,7568.0,14297.63,-135.0819,▼ risk
5987,87.2,MonthlyRate,25422.0,14297.63,223.2962,▲ risk
5995,87.2,MonthlyRate,25422.0,14297.63,223.2962,▲ risk
14879,86.0,Application ID,11827.0,7489.08,74.5963,▲ risk
14878,86.0,Application ID,11826.0,7489.08,74.5791,▲ risk
14872,86.0,Application ID,11820.0,7489.08,74.4759,▲ risk
14871,86.0,Application ID,11819.0,7489.08,74.4587,▲ risk
14870,86.0,Application ID,11818.0,7489.08,74.4415,▲ risk
14864,86.0,Application ID,11813.0,7489.08,74.3555,▲ risk
2497,85.5,MonthlyRate,2243.0,14297.63,-241.969,▼ risk
2504,85.5,MonthlyRate,2243.0,14297.63,-241.969,▼ risk
3486,85.3,Application ID,2767.0,7489.08,-81.2025,▼ risk
